date,dewpoint_c,event_name,precip_1hr_mm,precip_6hr_mm,precip_mm,pressure_hpa,sky_cover_oktas,source,station_id,temp_c,timestamp,tmax_c,tmin_c,wind_avg_mps,wind_dir_deg,wind_gust_mps,wind_speed_mps
,22.2,Ts Imelda 2019,0.0,,,1017.5,2,,USW00012960,30.6,2019-09-15T15:00:00,,,,30,,4.6
,20.6,Ts Imelda 2019,0.0,,,1017.4,4,,USW00012960,32.8,2019-09-15T16:00:00,,,,30,,4.1
,18.9,Ts Imelda 2019,0.0,,,1017.2,4,,USW00012960,32.2,2019-09-15T17:00:00,,,,50,,5.7
,19.4,Ts Imelda 2019,0.0,,,1016.6,4,,USW00012960,33.3,2019-09-15T18:00:00,,,,110,,4.6
,18.9,Ts Imelda 2019,0.0,,,1015.6,4,,USW00012960,33.9,2019-09-15T19:00:00,,,,100,,5.1
,18.3,Ts Imelda 2019,0.0,,,1014.7,4,,USW00012960,33.9,2019-09-15T20:00:00,,,,60,,5.1
,18.3,Ts Imelda 2019,0.0,,,1013.9,,,USW00012960,34.4,2019-09-15T21:00:00,,,,90,,4.6
,18.9,Ts Imelda 2019,0.0,,,1013.6,4,,USW00012960,35.6,2019-09-15T22:00:00,,,,60,,4.6
,22.2,Ts Imelda 2019,-0.1,,,1014.0,4,,USW00012960,28.9,2019-09-15T23:00:00,,,,110,,4.1
,21.7,Ts Imelda 2019,0.0,-0.1,,1014.2,4,,USW00012960,29.4,2019-09-16T00:00:00,,,,120,,3.1
,21.1,Ts Imelda 2019,0.0,,,1014.2,2,,USW00012960,30.0,2019-09-16T01:00:00,,,,160,,2.6
,21.1,Ts Imelda 2019,0.0,,,1014.5,2,,USW00012960,28.3,2019-09-16T02:00:00,,,,170,,1.5
,21.1,Ts Imelda 2019,0.0,,,1015.2,4,,USW00012960,28.3,2019-09-16T03:00:00,,,,170,,2.6
,21.7,Ts Imelda 2019,0.0,,,1015.2,4,,USW00012960,26.1,2019-09-16T04:00:00,,,,180,,1.5
,21.7,Ts Imelda 2019,0.0,,,1015.2,4,,USW00012960,25.6,2019-09-16T05:00:00,,,,0,,0.0
,21.7,Ts Imelda 2019,0.0,,,1015.4,4,,USW00012960,24.4,2019-09-16T06:00:00,,,,350,,1.5
,21.7,Ts Imelda 2019,0.0,,,1015.5,2,,USW00012960,24.4,2019-09-16T07:00:00,,,,0,,0.0
,21.7,Ts Imelda 2019,0.0,,,1015.3,4,,USW00012960,24.4,2019-09-16T08:00:00,,,,0,,0.0
,21.7,Ts Imelda 2019,0.0,,,1015.2,4,,USW00012960,23.9,2019-09-16T09:00:00,,,,0,,0.0
